country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Sierra Leone;58.5;59.8;60.4;29;30;30;0;0.0566;0.0476;3;3;3;9.29;4.52;3.27;34;34;34;12.2;0;0;0;0.00923;0.0112;0.0109
Singapore;84.4;84.7;84.8;85;84;84;0;0;0.175;4;4;4;2.52;2.65;2.62;40.9;40.9;40.9;825;;;;0.0309;0.0319;0.0315
Slovak Republic;76.7;77.2;77.4;51;51;50;0.217;0.208;0;1;1;1;2.83;3.38;3.48;26.7;26.4;26.5;1360;20.9;19.9;0;0.0112;0.0112;0.011
Slovenia;80.8;81;81.1;60;61;61;0.246;0.236;0;1;1;1;0.786;1.32;1.59;25.6;25.5;25.4;1880;21.1;20.6;20.4;0.0093;0.0101;0.00982
Solomon Islands;62.8;63.1;68.5;;42;39;;;;3;2.5;2.5;1.34;1.2;1.29;37.1;37.1;37.1;212;0;0;0;;;
Somalia;58.3;58.5;58.5;8;10;9;;;;7;7;7;0;0;0;48;48;48;0;;;;0;0;0
South Africa;63.4;64.4;66.3;44;45;43;0;0;0.176;2;2;2;1.29;1.78;1.66;63.1;63;63;412;0;0;0;0.011;0.0108;0.0104
South Korea;82.3;82.5;82.6;54;53;54;0;0.278;0;2;2;2;3.35;3.33;3.37;31.6;31.6;31.6;1190;0;0;0;0.0249;0.0246;0.0242
South Sudan;59.4;59.4;59.3;15;11;12;0;0.0458;0;6.5;7;7;12.5;13.5;1.27;45;45;45;;0;0;0;0.106;0.046;0.0235
Spain;82.6;82.9;83.1;58;58;57;0.173;0.171;0;1;1;1;1.19;1.37;1.42;36.2;36.2;36.2;2200;26.2;25.9;25.4;0.0127;0.0114;0.0123
